date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:13:54	96181/96181	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Mar%202020%2008:43:54%20GMT	http://embeddedandvlsidesignconference.org/visionary-keynote/	C:/Users/mohit%20jain/Desktop/temp/VLSID/embeddedandvlsidesignconference.org/visionary-keynote/index.html	(from http://embeddedandvlsidesignconference.org/)
14:13:55	74254/74254	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Mar%202020%2008:43:55%20GMT	http://embeddedandvlsidesignconference.org/banquet-talk/	C:/Users/mohit%20jain/Desktop/temp/VLSID/embeddedandvlsidesignconference.org/banquet-talk/index.html	(from http://embeddedandvlsidesignconference.org/)
14:13:58	96307/96307	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Mar%202020%2008:43:56%20GMT	http://embeddedandvlsidesignconference.org/plenary-sessions/	C:/Users/mohit%20jain/Desktop/temp/VLSID/embeddedandvlsidesignconference.org/plenary-sessions/index.html	(from http://embeddedandvlsidesignconference.org/)
14:13:59	87726/87726	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Mar%202020%2008:43:59%20GMT	http://embeddedandvlsidesignconference.org/student-research-forum/	C:/Users/mohit%20jain/Desktop/temp/VLSID/embeddedandvlsidesignconference.org/student-research-forum/index.html	(from http://embeddedandvlsidesignconference.org/)
14:14:00	98814/98814	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Mar%202020%2008:44:00%20GMT	http://embeddedandvlsidesignconference.org/industry-forum/	C:/Users/mohit%20jain/Desktop/temp/VLSID/embeddedandvlsidesignconference.org/industry-forum/index.html	(from http://embeddedandvlsidesignconference.org/)
14:14:00	74785/74785	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Mar%202020%2008:44:01%20GMT	http://embeddedandvlsidesignconference.org/startup-forum/	C:/Users/mohit%20jain/Desktop/temp/VLSID/embeddedandvlsidesignconference.org/startup-forum/index.html	(from http://embeddedandvlsidesignconference.org/)
14:14:01	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2023%20Mar%202020%2008:43:45%20GMT	https://embeddedandvlsidesignconference.org//sponsors-industry-leaders	C:/Users/mohit%20jain/Desktop/temp/VLSID/embeddedandvlsidesignconference.org/sponsors-industry-leaders.25.delayed	(from http://embeddedandvlsidesignconference.org/)
14:14:01	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2023%20Mar%202020%2008:44:02%20GMT	http://embeddedandvlsidesignconference.org//sponsors-industry-leaders	C:/Users/mohit%20jain/Desktop/temp/VLSID/embeddedandvlsidesignconference.org/sponsors-industry-leaders	(from http://embeddedandvlsidesignconference.org/)
14:14:02	88522/88522	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Mar%202020%2008:44:02%20GMT	http://embeddedandvlsidesignconference.org/sponsors-industry-leaders/	C:/Users/mohit%20jain/Desktop/temp/VLSID/embeddedandvlsidesignconference.org/sponsors-industry-leaders/index.html	(from http://embeddedandvlsidesignconference.org/)
14:14:02	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2023%20Mar%202020%2008:43:54%20GMT	https://embeddedandvlsidesignconference.org/program/	C:/Users/mohit%20jain/Desktop/temp/VLSID/embeddedandvlsidesignconference.org/program/index.html	(from http://embeddedandvlsidesignconference.org/)
14:14:02	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2023%20Mar%202020%2008:43:56%20GMT	https://embeddedandvlsidesignconference.org/invited-talks/	C:/Users/mohit%20jain/Desktop/temp/VLSID/embeddedandvlsidesignconference.org/invited-talks/index.html	(from http://embeddedandvlsidesignconference.org/)
